date,dengue_fever_cases,dhf_cases,daily_max_temp,daily_min_temp,extreme_max_temp,extreme_min_temp,total_rainfall,total_highest_daily_rainfall,no_of_rainy_days,sunshine_daily_mean,min_relative_humidity,mean_daily_humidity,monthly_mean_temp
2019-03-31,593,4,33.5,25.6,34.8,22.3,72.2,29.0,6.0,8.3,40.0,72.3,28.7
2019-04-30,523,2,32.7,25.9,34.5,22.7,174.8,52.4,9.0,5.9,48.0,77.6,28.6
2019-05-31,1162,6,32.7,26.5,34.7,22.8,69.0,17.2,13.0,7.0,52.0,79.2,29.3
2019-06-30,2182,16,31.3,26.1,33.0,23.3,173.8,37.6,16.0,5.3,47.0,79.5,28.4
2019-07-31,2497,10,32.1,26.9,33.4,23.9,12.2,6.6,8.0,7.5,45.0,75.2,29.0
2019-08-31,2114,6,32.7,27.1,34.0,24.5,11.8,3.8,6.0,7.6,35.0,72.1,29.1
2019-09-30,1609,11,33.0,26.6,34.3,22.9,22.8,16.4,4.0,6.7,37.0,73.0,29.0
2019-10-31,949,5,32.7,25.3,34.4,22.9,176.8,92.2,15.0,6.5,38.0,78.1,28.1
2019-11-30,1328,6,32.3,25.4,34.4,22.9,137.4,73.4,15.0,5.5,45.0,79.2,28.0
2019-12-31,1348,1,30.1,24.6,32.3,22.7,421.5,74.2,14.0,4.8,47.0,83.9,26.7
2020-01-31,1353,6,31.7,25.2,32.8,23.8,88.4,38.0,6.0,7.1,43.0,77.9,27.7
2020-02-29,1528,3,31.7,25.3,33.1,23.7,65.0,23.8,8.0,8.3,45.0,76.0,27.9
2020-03-31,1881,2,32.9,25.9,34.0,24.1,108.8,47.4,8.0,7.6,44.0,75.2,28.6
2020-04-30,1415,3,33.0,26.0,34.6,23.8,188.0,51.8,12.0,7.1,46.0,76.4,28.9
2020-05-31,2765,9,32.2,26.1,34.5,23.6,255.6,53.8,16.0,5.7,50.0,79.1,28.9
2020-06-30,4848,4,31.0,25.5,33.0,23.7,233.8,41.0,21.0,4.3,53.0,80.2,28.1
2020-07-31,6625,11,31.0,25.5,32.5,23.7,140.8,30.4,22.0,5.7,53.0,78.2,27.9
2020-08-31,6817,8,31.4,25.9,33.0,22.5,103.4,34.6,12.0,6.4,41.0,76.8,28.3
2020-09-30,2923,2,31.0,24.9,33.2,21.9,150.2,32.8,18.0,4.8,48.0,79.0,27.5
2020-10-31,2287,4,31.6,25.6,34.1,22.2,78.8,19.0,16.0,4.3,44.0,75.4,28.3
2020-11-30,1739,1,31.0,25.0,33.4,23.3,220.6,64.2,19.0,4.0,49.0,81.7,27.2
2020-12-31,887,0,31.5,24.5,33.5,23.0,253.2,58.2,20.0,5.2,49.0,81.1,27.2
2021-01-31,979,3,29.1,23.8,31.6,21.7,692.8,210.6,17.0,4.2,55.0,82.6,26.0
2021-02-28,574,3,31.6,24.8,33.7,23.7,1.0,0.6,2.0,8.2,46.0,73.8,27.3
2021-03-31,507,0,32.8,25.0,34.2,23.0,182.4,38.0,14.0,7.3,42.0,76.6,27.9
2021-04-30,426,1,32.4,25.3,34.7,23.1,290.4,83.8,14.0,6.8,43.0,77.4,28.2
2021-05-31,573,3,32.1,26.0,33.6,22.9,245.8,49.8,13.0,6.0,49.0,79.3,28.7
2021-06-30,510,1,32.1,25.6,33.7,23.4,93.4,23.8,20.0,6.5,42.0,77.8,28.5
2021-07-31,341,0,31.8,26.2,33.4,23.2,195.8,75.0,12.0,6.8,48.0,76.5,28.6
2021-08-31,306,0,31.0,24.8,32.9,21.9,293.6,71.4,24.0,4.8,51.0,80.4,27.6
2021-09-30,348,2,31.7,25.6,33.3,22.5,205.4,63.4,14.0,6.4,45.0,77.3,28.3
2021-10-31,399,0,32.2,25.8,33.8,23.2,177.0,59.6,14.0,6.2,45.0,78.3,28.5
2021-11-30,209,0,31.8,24.8,33.9,22.8,312.4,47.8,23.0,4.9,41.0,81.7,27.6
2021-12-31,272,1,31.4,25.4,33.9,22.9,119.6,46.8,15.0,5.4,47.0,79.7,27.7
2022-01-31,752,5,31.6,24.9,33.1,23.2,99.8,50.0,9.0,8.3,49.0,77.4,27.4
2022-02-28,837,2,31.2,24.8,33.6,22.6,175.0,29.6,16.0,5.9,51.0,80.3,27.3
2022-03-31,1741,0,32.7,25.1,34.2,23.0,163.2,36.2,21.0,6.4,48.0,79.2,28.1
2022-04-30,3319,3,32.1,25.1,34.0,23.1,239.6,58.8,18.0,5.2,51.0,80.0,28.1
2022-05-31,6443,15,32.9,26.2,35.4,23.5,102.0,44.6,12.0,6.7,41.0,76.5,29.2
2022-06-30,5069,4,31.1,25.3,33.6,22.9,211.8,59.4,17.0,4.7,54.0,79.1,27.9
2022-07-31,5103,3,31.7,25.8,32.9,22.2,145.2,27.8,16.0,6.2,53.0,76.8,28.6
2022-08-31,2796,5,31.2,25.8,33.2,23.7,141.4,32.4,15.0,5.5,50.0,77.4,28.1
2022-09-30,2011,1,31.1,25.4,32.6,22.4,121.0,38.2,14.0,3.8,52.0,76.9,27.9
2022-10-31,1776,2,31.5,24.7,34.6,23.1,279.0,38.8,27.0,3.5,47.0,78.7,27.6
2022-11-30,1113,3,31.4,24.4,33.9,22.4,313.8,53.0,26.0,3.8,46.0,79.9,27.4
2022-12-31,1170,2,30.3,24.5,32.7,23.1,215.4,37.0,19.0,3.6,52.0,81.2,26.8
